 Africa;Derna;	32.7666666666666; 	22.65; 
 Africa;Marsa El Brega;	30.4166666666666; 	19.56666667; 
 Africa;Misurata (Qasr Ahmed);	32.3666666666666; 	15.21666667; 
 Africa;Ras Lanuf;	30.5166666666666; 	18.58333333; 
 Africa;Tobruk;	32.0666666666666; 	24; 
 Africa;Tripoli;	32.9; 	13.21666667; 
 Africa;Zuara;	32.9166666666666; 	12.11666667; 
 Europe;Klaipeda;	55.7166666666666; 	21.11666667;
 'Macau'  is not a country in the system;Macau (Macao, Aomen);	22.2; 	113.55; 
 Africa;Antsiranana;	-12.2166666666666; 	49.31666667; 
 Africa;Majunga (Mahajanga);	-15.7166666666666; 	46.33333333; 
 Africa;Toamasina (Tamatave);	-18.1333333333333; 	49.36666667; 
 Africa;Tulear (Toliara);	-23.35; 	43.66666667; 
 India and South East Asia;Bintulu, Sarawak;	3.26666666666666; 	112.9833333; 
 India and South East Asia;Kota Kinabalu, Sabah;	5.98333333333333; 	116; 
 India and South East Asia;Kuantan;	3.96666666666666; 	103.4333333; 
 India and South East Asia;Kuching, Sarawak;	1.56666666666666; 	110.35; 
 India and South East Asia;Kudat, Sabah;	6.88333333333333; 	116.85; 
 India and South East Asia;Labuan, Sabah;	5.28333333333333; 	115.25; 
 India and South East Asia;Lahad Datu, Sabah;	5.03333333333333; 	118.3333333; 
 India and South East Asia;Lumut;	4.26666666666666; 	100.65; 
 India and South East Asia;Miri, Sarawak;	4.43333333333333; 	113.9166667; 
 '81700'  is not a country in the system;Pasir Gudang, Johor;	1.43333333333333; 	103.9; 
 India and South East Asia;Penang (Georgetown);	5.41666666666666; 	100.35; 
 India and South East Asia;Port Dickson;	2.51666666666666; 	101.7833333; 
 India and South East Asia;Port Klang (Kelang);	3; 	101.4; 
 India and South East Asia;Sandakan, Sabah;	5.83333333333333; 	118.1166667; 
 India and South East Asia;Sibu, Sarawak;	2.3; 	111.8166667; 
 India and South East Asia;Tanjung Pelepas, Johor;	1.35; 	103.5333333; 
 India and South East Asia;Tawau, Sabah;	4.23333333333333; 	117.8666667; 
 Europe;Valletta;	35.897778; 	14.5125;
 South America;Fort de France;	14.6; 	-61.06666667; 
 Africa;Nouadhibou;	20.8166666666666; 	-17.05; 
 Africa;Nouakchott;	18.0333333333333; 	-16.03333333; 
 Africa;Port Louis;	-20.15; 	57.5;
 North America;Acapulco;	16.85; 	-99.93333333; 
 North America;Coatzacoalcos;	18.1333333333333; 	-94.41666667; 
 North America;Guaymas;	27.9166666666666; 	-110.8833333; 
 North America;La Paz;	24.1666666666666; 	-110.3166667; 
 North America;Lazaro Cardenas;	17.8833333333333; 	-102.1666667; 
 North America;Manzanillo;	19.05; 	-104.3333333; 
 North America;Mazatlan;	23.1833333333333; 	-106.4333333; 
 North America;Progreso;	21.2833333333333; 	-89.65; 
 North America;Salina Cruz;	16.1666666666666; 	-95.2; 
 North America;Tampico;	22.2666666666666; 	-97.78333333; 
 North America;Topolobampo;	25.6; 	-109.05; 
 North America;Tuxpan;	20.95; 	-97.4; 
 North America;Veracruz;	19.2; 	-96.13333333; 
 'Micronesia'  is not a country in the system;Pohnpei (Ex Ponape);	6.91666666666666; 	158.1666667; 
 '5'  is not a country in the system;Monaco;	43.7333333333333; 	7.45; 
 Europe;Bar;	42.0833333333333; 	19.05;
 Europe;Kotor;	42.45; 	18.6;
 North America;Plymouth;	16.7; 	-62.21666667;
 Africa;Agadir;	30.4333333333333; 	-9.633333333; 
 Africa;Casablanca;	33.6; 	-7.616666667; 
 Africa;El Jadida;	33.233333; 	-8.5; 
 Africa;Kenitra;	34.2666666666666; 	-6.583333333; 
 Africa;Mohammedia;	33.75; 	-7.366666667; 
 Africa;Safi;	32.3166666666666; 	-9.2; 
 Africa;Tangier;	35.7833333333333; 	-5.8; 
 Africa;Beira;	-19.7666666666666; 	34.83333333; 
 Africa;Inhambane;	-23.8666666666666; 	35.38333333; 
 Africa;Maputo;	-25.9666666666666; 	32.56666667; 
 Africa;Nacala;	-14.5333333333333; 	40.66666667; 
 Africa;Pemba;	-12.95; 	40.5; 
 Africa;Quelimane;	-17.8833333333333; 	36.88333333; 
